title,hotels_result,hotels_price_restlt
桂林山水周边酒店,"['桂林柳钢桂林疗养院', '维也纳酒店(桂林万福广场店)', '城市便捷酒店(桂林瓦窑批发城店)', '桂林鑫昌商务酒店', '骏怡商务酒店（桂林万福广场店）', '雅斯特酒店(桂林万福广场店)', '桂林德盛便捷酒店', '桂林德天宾馆']","['128', '102', '68', '97', '75', '114', '49', '49']"
漓江周边酒店,"['桂林26°酒店', '桂林文文阿姨普通公寓', '桂林悦舍公寓', '星驿国际服务公寓(桂林万达广场店)', '旭阳主题酒店公寓(桂林万达店)', '万腾酒店公寓(桂林万达七星店)', '桂林斯维登度假公寓(高新万达)', '桂林万达华府SOHO公寓']","['99', '246', '219', '50', '134', '79', '126', '388']"
NA,[],[]
西街周边酒店,"['阳朔外泊家遇见客栈', '既见·乡榭酒店(阳朔十里画廊店)', '阳朔旅安居客栈', '阳朔璞闲居采茶山庄', '阳朔盛兴阁', '阳朔蔽龙阁', '阳朔福景山客栈', '阳朔赏榕客栈']","['207', '339', '59', '438', '241', '274', '129', '55']"
龙胜梯田周边酒店,"['柠檬湾酒店(桂林高新万达店)', '桂林美天宾馆', '浦江大酒店(桂林火车站店)', '桂林南星谊美酒店', '桂林城市梦想酒店', '桂林四建精品酒店', '桂林鑫悦宾馆', '桂林豪帝宾馆']","['90', '42', '60', '68', '92', '107', '60', '150']"
印象刘三姐周边酒店,"['阳朔七仙峰茶园客栈', '阳朔县益佳客栈', '桂林阳朔陈家花园西街分店客栈', '桂林兴坪山水美宿渔家乐(总统之旅店)']","['142', '69', '98', '448']"
象鼻山周边酒店,"['柠檬湾酒店(桂林高新万达店)', '桂林美天宾馆', '浦江大酒店(桂林火车站店)', '桂林南星谊美酒店', '桂林城市梦想酒店', '桂林四建精品酒店', '桂林鑫悦宾馆', '桂林豪帝宾馆']","['90', '42', '60', '68', '92', '107', '60', '150']"
两江四湖周边酒店,"['柠檬湾酒店(桂林高新万达店)', '桂林美天宾馆', '浦江大酒店(桂林火车站店)', '桂林南星谊美酒店', '桂林城市梦想酒店', '桂林四建精品酒店', '桂林鑫悦宾馆', '桂林豪帝宾馆']","['90', '42', '60', '68', '92', '107', '60', '150']"
七星公园周边酒店,"['桂林凯嘉假日酒店', '桂林假日之星精品酒店', '桂林乐居宾馆', '柠檬湾酒店(桂林高新万达店)', '桂林美天宾馆', '浦江大酒店(桂林火车站店)', '桂林南星谊美酒店', '桂林城市梦想酒店']","['58', '58', '51', '90', '42', '60', '68', '92']"
乐满地周边酒店,"['兴安乐满地度假酒店', '七天阁商务酒店(兴安乐满地店)', '兴安帝豪大酒店', '兴安福鑫宾馆', '兴安锦佳商务宾馆', '7天连锁酒店(兴安乐满地店)', '城市便捷酒店(兴安店)', '兴安丰泰酒店']","['400', '138', '165', '30', '49', '60', '72', '38']"
